decision_status,priority,pathway,item_name,gpu_or_soc,vram_gb,unified_memory_gb,screen_size_in,price_aud,au_stock,verification_status,key_blockers,next_action,source_file
BUY_CANDIDATE,1,UNKNOWN,Alienware 18 Area-51 (RTX 5070 8GB),NVIDIA GeForce RTX 5070 Laptop,UNKNOWN,UNKNOWN,18.0,3179.0,Yes,Verified (User provided specs),none,Fill/verify missing pricing/spec/stock evidence for MCDA finalization,NotebookLM_Workspaces/04_Laptops_Mainline/intake-073_ebay-shortlink-hxqmlu.md
BUY_CANDIDATE,2,1A,Acer Predator Helios 18,RTX 4090 Mobile,16.0,UNKNOWN,UNKNOWN,4449.0,Yes,Verified,none,Fill/verify missing pricing/spec/stock evidence for MCDA finalization,NotebookLM_Workspaces/04_Laptops_Mainline/intake-051_acer-predator-helios-18.md
VERIFY_NEXT,3,UNKNOWN,Lenovo ThinkPad T14 / T14s (Refurbished),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,800.0,UNKNOWN,Unverified,AU stock unconfirmed,Fill/verify missing pricing/spec/stock evidence for MCDA finalization,NotebookLM_Workspaces/04_Laptops_Mainline/intake-014_lenovo-thinkpad-t14-t14s-refurbished.md
VERIFY_NEXT,4,UNKNOWN,Dell Latitude 7330 2-in-1 (Refurbished),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1254.0,UNKNOWN,Unverified,AU stock unconfirmed,Fill/verify missing pricing/spec/stock evidence for MCDA finalization,NotebookLM_Workspaces/04_Laptops_Mainline/intake-015_dell-latitude-7330-2-in-1-refurbished.md
VERIFY_NEXT,5,1A,Acer Predator Helios Neo 16S AI RTX 5060,RTX 5060,8.0,UNKNOWN,UNKNOWN,2399.0,UNKNOWN,Unverified,AU stock unconfirmed,Fill/verify missing pricing/spec/stock evidence for MCDA finalization,NotebookLM_Workspaces/04_Laptops_Mainline/intake-052_acer-predator-helios-neo-16s-ai-rtx-5060.md
VERIFY_NEXT,6,1A,ERAZER Major X20 RTX 4070,RTX 4070,8.0,UNKNOWN,16.0,2999.0,UNKNOWN,Unverified,AU stock unconfirmed,Fill/verify missing pricing/spec/stock evidence for MCDA finalization,NotebookLM_Workspaces/04_Laptops_Mainline/intake-053_erazer-major-x20-rtx-4070.md
VERIFY_NEXT,7,1A,Alienware 16 Area-51 new config,RTX 5070 Ti Mobile,16.0,UNKNOWN,UNKNOWN,4198.7,UNKNOWN,Unverified,AU stock unconfirmed,Fill/verify missing pricing/spec/stock evidence for MCDA finalization,NotebookLM_Workspaces/04_Laptops_Mainline/intake-036_alienware-16-area-51-new-config.md
VERIFY_NEXT,8,1A,Lenovo Legion Pro 7i,RTX 4090 Mobile,16.0,UNKNOWN,UNKNOWN,4575.0,UNKNOWN,Unverified,AU stock unconfirmed,Fill/verify missing pricing/spec/stock evidence for MCDA finalization,NotebookLM_Workspaces/04_Laptops_Mainline/intake-009_lenovo-legion-pro-7i.md
VERIFY_NEXT,9,1A,MSI Stealth A16 5080,RTX 5080 Mobile,16.0,UNKNOWN,UNKNOWN,4999.0,UNKNOWN,Unverified,AU stock unconfirmed,Fill/verify missing pricing/spec/stock evidence for MCDA finalization,NotebookLM_Workspaces/04_Laptops_Mainline/intake-045_msi-stealth-a16-5080.md
VERIFY_NEXT,10,UNKNOWN,HP ZBook Ultra 14 G1a,Radeon 8060S,UNKNOWN,UNKNOWN,14.0,UNKNOWN,UNKNOWN,Needs Verification,price unknown; AU stock unconfirmed,Fill/verify missing pricing/spec/stock evidence for MCDA finalization,NotebookLM_Workspaces/04_Laptops_Mainline/intake-072_hp-zbook-ultra-14-g1a.md
VERIFY_NEXT,11,1A,Dell Alienware m18 R2 / Area-51,RTX 5090 Mobile (Conflict),24.0,UNKNOWN,18.0,UNKNOWN,UNKNOWN,Unverified,price unknown; AU stock unconfirmed,Fill/verify missing pricing/spec/stock evidence for MCDA finalization,NotebookLM_Workspaces/04_Laptops_Mainline/intake-011_dell-alienware-m18-r2-area-51.md
VERIFY_NEXT,12,1A,MSI Crosshair 18 HX AI,RTX 5070 Mobile,8.0,UNKNOWN,18.0,UNKNOWN,Yes,Verified,price unknown,Fill/verify missing pricing/spec/stock evidence for MCDA finalization,NotebookLM_Workspaces/04_Laptops_Mainline/intake-013_msi-crosshair-18-hx-ai.md
PARKED_OVER_BUDGET,13,1A,Razer Blade 18,RTX 5090 Mobile,24.0,UNKNOWN,UNKNOWN,7400.0,UNKNOWN,Unverified,over budget; AU stock unconfirmed,Fill/verify missing pricing/spec/stock evidence for MCDA finalization,NotebookLM_Workspaces/04_Laptops_Mainline/intake-012_razer-blade-18.md
PARKED_OVER_BUDGET,14,1A,MSI Raider 18 HX AI A2XWJG,RTX 5090 Mobile,24.0,UNKNOWN,UNKNOWN,8488.0,UNKNOWN,Verified,over budget; AU stock unconfirmed,Fill/verify missing pricing/spec/stock evidence for MCDA finalization,NotebookLM_Workspaces/04_Laptops_Mainline/intake-010_msi-raider-18-hx-ai-a2xwjg.md
