listing_id,title,url,price_raw,price_aud,retailer,condition,cpu_model,gpu_model,ram_gb,vram_gb,screen_size_in,storage
358135333685,"ASUS ROG Strix G18 18"" i9-13980HX RTX4060 16GB/512GB Gaming Laptop / G814JV-N602",https://www.ebay.com.au/itm/358135333685,UNKNOWN,UNKNOWN,eBay AU,Used/Refurbished,i9-13980HX,RTX4060 ,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
267581800889,Alienware Aurora R12 Gaming PC i9 11900K 32GB RAM 2TB SSD RTX 3090 Win 11,https://www.ebay.com.au/itm/267581800889,UNKNOWN,UNKNOWN,eBay AU,Used/Refurbished,i9 11900K,RTX 3090 ,32,24,UNKNOWN,2TB SSD
335402757102,ASUS ROG Zephyrus Duo SE 15 Gaming Laptop NVIDIA RTX 3070 1TB 32GB Win10 Pro NIB,https://www.ebay.com.au/itm/335402757102,UNKNOWN,UNKNOWN,eBay AU,Used/Refurbished,UNKNOWN,RTX 3070 ,UNKNOWN,8,UNKNOWN,UNKNOWN
267617299269,Lenovo ThinkStation P620 Threadripper 3945WX 32GB/64GB 1TB SSD 1000W PSU P2000,https://www.ebay.com.au/itm/267617299269,UNKNOWN,UNKNOWN,eBay AU,Used/Refurbished,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1TB SSD
157942587348,"(��A+)Asus ROG Strix SCAR 17 SE 17.3"" i7-12950HX 32G 2TB SSD RTX3080Ti FHD 360Hz",https://www.ebay.com.au/itm/157942587348,UNKNOWN,UNKNOWN,eBay AU,Used/Refurbished,i7-12950HX,RTX3080Ti,UNKNOWN,16,UNKNOWN,2TB SSD
358603401448,Asus Rog Strix 17 RTX 4090 laptop QHD 240Hz display 64Gb ram DDR5,https://www.ebay.com.au/itm/358603401448,UNKNOWN,UNKNOWN,eBay AU,Used/Refurbished,UNKNOWN,RTX 4090 ,64,16,UNKNOWN,UNKNOWN
800077158857,Lenovo Legion 9i (83AG) RTX 4090 | i9-13980HX | 64GB RAM | 2TB SSD | Mint + Exce,https://www.ebay.com.au/itm/800077158857,UNKNOWN,UNKNOWN,eBay AU,Used/Refurbished,i9-13980HX,RTX 4090,64,16,UNKNOWN,2TB SSD
187687118880,"Dell Precision 7560 15"" Touch Laptop i7-11850H 8-Cores 32GB 8GB RTX A4000 Mobile",https://www.ebay.com.au/itm/187687118880,UNKNOWN,UNKNOWN,eBay AU,Used/Refurbished,i7-11850H,RTX A4000,UNKNOWN,8,UNKNOWN,UNKNOWN
267684076539,Alienware X15 R2 i9 12900H RTX 3080 Ti 32GB 2TB QHD 240Hz Laptop AZERTY seedesc*,https://www.ebay.com.au/itm/267684076539,UNKNOWN,UNKNOWN,eBay AU,Used/Refurbished,i9 12900H,RTX 3080 Ti,UNKNOWN,16,UNKNOWN,UNKNOWN
398009810021,Razer Blade Stealth 4K Touchscreen Laptop Core i7 8GB RAM 512GB SSD Win10 Japan,https://www.ebay.com.au/itm/398009810021,UNKNOWN,UNKNOWN,eBay AU,Used/Refurbished,UNKNOWN,UNKNOWN,8,UNKNOWN,UNKNOWN,512GB SSD
